epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.1872,0.33424,0.95016,0.99377,0.19103,0.0673143,0.000330159,0.000330159
2,19.8787,0.42141,0.93925,0.99688,0.19872,0.0343099,0.000659113,0.000659113
3,29.2561,0.49613,0.88318,0.99221,0.38672,0.00130113,0.000983667,0.000983667
4,38.4413,0.53852,0.91433,0.99221,0.24062,0.0009802,0.0009802,0.0009802
5,47.5698,0.48532,0.94237,0.99533,0.2143,0.0009736,0.0009736,0.0009736
6,57.0468,0.45484,0.96417,0.99688,0.1196,0.000967,0.000967,0.000967
7,66.6749,0.39222,0.92368,0.99377,0.25397,0.0009604,0.0009604,0.0009604
8,75.9525,0.38769,0.94081,0.99533,0.17835,0.0009538,0.0009538,0.0009538
9,85.3506,0.36526,0.95016,0.99844,0.1776,0.0009472,0.0009472,0.0009472
10,95.2443,0.35268,0.96106,0.99688,0.11635,0.0009406,0.0009406,0.0009406
11,104.368,0.29153,0.95327,1,0.11037,0.000934,0.000934,0.000934
12,113.387,0.28091,0.93769,0.99844,0.20276,0.0009274,0.0009274,0.0009274
13,123.16,0.32756,0.96262,1,0.10557,0.0009208,0.0009208,0.0009208
14,132.654,0.26575,0.97819,1,0.07412,0.0009142,0.0009142,0.0009142
15,142.038,0.23083,0.97196,1,0.08314,0.0009076,0.0009076,0.0009076
16,151.143,0.21773,0.9704,0.99844,0.08388,0.000901,0.000901,0.000901
17,160.665,0.21558,0.96262,1,0.12013,0.0008944,0.0008944,0.0008944
18,170.277,0.21388,0.98131,0.99688,0.06845,0.0008878,0.0008878,0.0008878
19,179.645,0.19684,0.98131,1,0.04795,0.0008812,0.0008812,0.0008812
20,189.174,0.19151,0.96417,0.99844,0.14595,0.0008746,0.0008746,0.0008746
21,198.654,0.17775,0.97196,0.99844,0.12013,0.000868,0.000868,0.000868
22,208.152,0.18477,0.98754,1,0.05084,0.0008614,0.0008614,0.0008614
23,217.294,0.17935,0.98287,1,0.07986,0.0008548,0.0008548,0.0008548
24,226.589,0.17756,0.98442,1,0.05081,0.0008482,0.0008482,0.0008482
25,235.68,0.1782,0.98598,0.99844,0.04659,0.0008416,0.0008416,0.0008416
26,245.238,0.14016,0.99221,1,0.02768,0.000835,0.000835,0.000835
27,254.465,0.11946,0.98598,1,0.0425,0.0008284,0.0008284,0.0008284
28,263.904,0.12172,0.9891,0.99844,0.04589,0.0008218,0.0008218,0.0008218
29,273.294,0.08201,0.99065,0.99844,0.03322,0.0008152,0.0008152,0.0008152
30,282.287,0.08331,0.99377,1,0.03591,0.0008086,0.0008086,0.0008086
31,291.8,0.11989,0.98754,0.99844,0.03961,0.000802,0.000802,0.000802
32,301.467,0.11508,0.99065,1,0.03693,0.0007954,0.0007954,0.0007954
33,310.266,0.12196,0.97975,0.99688,0.06386,0.0007888,0.0007888,0.0007888
34,319.878,0.0942,0.98754,0.99844,0.0358,0.0007822,0.0007822,0.0007822
35,329.276,0.11164,0.98442,0.99844,0.04076,0.0007756,0.0007756,0.0007756
36,339.007,0.09369,0.99065,0.99844,0.0223,0.000769,0.000769,0.000769
37,348.201,0.08025,0.99221,1,0.03199,0.0007624,0.0007624,0.0007624
38,357.41,0.08229,0.99688,1,0.01378,0.0007558,0.0007558,0.0007558
39,366.89,0.10251,0.99688,0.99844,0.02229,0.0007492,0.0007492,0.0007492
40,376.164,0.07805,0.99221,1,0.02494,0.0007426,0.0007426,0.0007426
41,385.48,0.05458,0.99377,1,0.02066,0.000736,0.000736,0.000736
42,394.627,0.07821,0.99065,0.99844,0.02643,0.0007294,0.0007294,0.0007294
43,404.221,0.09065,0.99533,1,0.01433,0.0007228,0.0007228,0.0007228
44,413.196,0.07807,0.99377,1,0.02246,0.0007162,0.0007162,0.0007162
45,422.375,0.09087,0.99221,1,0.02803,0.0007096,0.0007096,0.0007096
46,431.916,0.08988,0.99221,1,0.01954,0.000703,0.000703,0.000703
47,440.97,0.06613,0.99533,1,0.01884,0.0006964,0.0006964,0.0006964
48,450.009,0.08283,0.99688,1,0.01234,0.0006898,0.0006898,0.0006898
49,459.34,0.0697,0.99688,0.99844,0.01365,0.0006832,0.0006832,0.0006832
50,468.499,0.06206,0.99688,1,0.01771,0.0006766,0.0006766,0.0006766
51,478.026,0.04894,0.99688,0.99844,0.01833,0.00067,0.00067,0.00067
52,487.133,0.05492,0.99533,0.99844,0.0235,0.0006634,0.0006634,0.0006634
53,496.691,0.04775,0.99221,0.99844,0.04107,0.0006568,0.0006568,0.0006568
54,505.829,0.03966,0.99688,1,0.02624,0.0006502,0.0006502,0.0006502
55,515.188,0.06268,0.99688,0.99844,0.0592,0.0006436,0.0006436,0.0006436
56,524.58,0.04753,0.99688,1,0.00828,0.000637,0.000637,0.000637
57,533.922,0.04551,0.99688,1,0.01121,0.0006304,0.0006304,0.0006304
58,543.428,0.06411,0.99844,0.99844,0.00949,0.0006238,0.0006238,0.0006238
59,553.153,0.05129,0.99688,0.99844,0.01533,0.0006172,0.0006172,0.0006172
60,562.66,0.04311,0.99688,0.99844,0.02226,0.0006106,0.0006106,0.0006106
61,572.289,0.04529,0.99533,0.99844,0.02702,0.000604,0.000604,0.000604
62,581.322,0.04472,0.99533,0.99844,0.02921,0.0005974,0.0005974,0.0005974
63,590.714,0.05055,0.99688,0.99844,0.03468,0.0005908,0.0005908,0.0005908
64,599.995,0.05573,0.99533,0.99844,0.02705,0.0005842,0.0005842,0.0005842
65,609.422,0.06079,0.99533,1,0.02578,0.0005776,0.0005776,0.0005776
66,618.658,0.03904,0.99688,0.99844,0.02829,0.000571,0.000571,0.000571
67,627.668,0.03809,0.99688,0.99844,0.02633,0.0005644,0.0005644,0.0005644
68,637.109,0.04259,0.99688,1,0.02242,0.0005578,0.0005578,0.0005578
69,646.459,0.05702,0.99688,0.99844,0.02719,0.0005512,0.0005512,0.0005512
70,655.7,0.03565,0.99688,1,0.03535,0.0005446,0.0005446,0.0005446
71,665.323,0.03065,0.99688,0.99844,0.03837,0.000538,0.000538,0.000538
72,674.417,0.0323,0.99688,0.99844,0.03919,0.0005314,0.0005314,0.0005314
73,683.799,0.04322,0.99533,0.99844,0.03373,0.0005248,0.0005248,0.0005248
74,693.158,0.03495,0.99221,1,0.02625,0.0005182,0.0005182,0.0005182
75,702.449,0.02882,0.99377,1,0.02324,0.0005116,0.0005116,0.0005116
76,711.515,0.02873,0.99688,1,0.02631,0.000505,0.000505,0.000505
77,721.06,0.03788,0.99688,0.99844,0.03556,0.0004984,0.0004984,0.0004984
78,730.08,0.0348,0.99533,0.99844,0.02974,0.0004918,0.0004918,0.0004918
79,739.463,0.03249,0.99533,1,0.02134,0.0004852,0.0004852,0.0004852
80,748.687,0.0369,0.99377,1,0.02556,0.0004786,0.0004786,0.0004786
81,758.41,0.02992,0.99533,0.99844,0.02234,0.000472,0.000472,0.000472
82,767.661,0.02801,0.99377,0.99844,0.03698,0.0004654,0.0004654,0.0004654
83,777.123,0.02494,0.99221,0.99844,0.04016,0.0004588,0.0004588,0.0004588
84,786.536,0.01926,0.99533,0.99844,0.02274,0.0004522,0.0004522,0.0004522
85,795.659,0.02264,0.99688,0.99844,0.02518,0.0004456,0.0004456,0.0004456
86,805.199,0.02204,0.99688,1,0.02018,0.000439,0.000439,0.000439
87,814.798,0.02086,0.99688,0.99844,0.02153,0.0004324,0.0004324,0.0004324
88,823.921,0.01744,0.99688,0.99844,0.02114,0.0004258,0.0004258,0.0004258
89,833.057,0.02379,0.99533,0.99844,0.02496,0.0004192,0.0004192,0.0004192
90,842.364,0.02329,0.99533,0.99844,0.02096,0.0004126,0.0004126,0.0004126
91,851.898,0.02823,0.99533,0.99844,0.01982,0.000406,0.000406,0.000406
92,861.182,0.02858,0.99688,0.99844,0.02058,0.0003994,0.0003994,0.0003994
93,870.582,0.01913,0.99688,1,0.01748,0.0003928,0.0003928,0.0003928
94,879.983,0.02546,0.99688,0.99844,0.01729,0.0003862,0.0003862,0.0003862
95,889.172,0.02098,0.99533,0.99844,0.02025,0.0003796,0.0003796,0.0003796
96,898.239,0.01849,0.99533,0.99844,0.02387,0.000373,0.000373,0.000373
97,907.469,0.01964,0.99688,1,0.02088,0.0003664,0.0003664,0.0003664
98,917.171,0.02639,0.99533,1,0.02394,0.0003598,0.0003598,0.0003598
99,926.338,0.02494,0.99533,0.99688,0.02448,0.0003532,0.0003532,0.0003532
100,935.745,0.02402,0.99533,0.99844,0.02113,0.0003466,0.0003466,0.0003466
101,944.961,0.01297,0.99688,0.99844,0.01937,0.00034,0.00034,0.00034
102,954.2,0.01946,0.99688,0.99844,0.01985,0.0003334,0.0003334,0.0003334
103,963.626,0.00781,0.99533,0.99844,0.02383,0.0003268,0.0003268,0.0003268
104,973.047,0.00537,0.99533,0.99844,0.02455,0.0003202,0.0003202,0.0003202
105,982.079,0.01174,0.99688,0.99844,0.20141,0.0003136,0.0003136,0.0003136
106,991.277,0.02143,0.99688,0.99844,0.01658,0.000307,0.000307,0.000307
107,1000.86,0.01109,0.99688,0.99844,0.01445,0.0003004,0.0003004,0.0003004
108,1010.14,0.01756,0.99688,0.99844,0.01444,0.0002938,0.0002938,0.0002938
